Def_Index,year,state,candidate,candidatevotes,Total_Votes,party_simplified,Final_Result (%),,State,Cases,Deaths,Candidate Winner,Top 10,Top 5,Doses-Mod,Positive Tests,,,,,
3740,2020,ALABAMA,"BIDEN, JOSEPH R. JR",849624,TRUE,DEMOCRAT,TRUE,,Kentucky,402000,4460,Trump,,,,Rep,Florida,,,,
3741,2020,ALABAMA,"TRUMP, DONALD J.",1441170,TRUE,REPUBLICAN,TRUE,,Alabama,489000,9592,Trump,,,920600,Dem,Utah,,,,
3744,2020,ALASKA,"BIDEN, JOSEPH R. JR",153778,TRUE,DEMOCRAT,TRUE,,New Hampshire,73665,1154,Biden,,,,Dem,South Carolina,,Biden,15275288,296336
3745,2020,ALASKA,"TRUMP, DONALD J.",189951,TRUE,REPUBLICAN,TRUE,,New Jersey,769000,22874,Biden,Biden,,,Rep,Kentucky,,Trump,12807823,200514
3752,2020,ARIZONA,"BIDEN, JOSEPH R. JR",1672143,TRUE,DEMOCRAT,TRUE,,New York,1600000,46711,Biden,Biden,Biden,,Rep,Pennsylvania,,,,
3753,2020,ARIZONA,"TRUMP, DONALD J.",1661686,TRUE,REPUBLICAN,TRUE,,Mississippi,291000,6577,Trump,,,,Rep,Florida,,,,
3762,2020,ARKANSAS,"BIDEN, JOSEPH R. JR",423932,TRUE,DEMOCRAT,TRUE,,Louisiana,426000,9477,Trump,,,,Rep,South Carolina,,,,
3771,2020,ARKANSAS,"TRUMP, DONALD J.",760647,TRUE,REPUBLICAN,TRUE,,Georgia,962000,16835,Biden,Flipped to Democrat,,,Rep,Virginia,,,,
3773,2020,CALIFORNIA,"BIDEN, JOSEPH R. JR",11110250,TRUE,DEMOCRAT,TRUE,,Arkansas,316000,5363,Trump,,,,Rep,Texas,,,,
3774,2020,CALIFORNIA,"TRUMP, DONALD J.",6006429,TRUE,REPUBLICAN,TRUE,,Texas,2610000,41407,Trump,Trump,Trump,,Dem,Arizona,,,,
3784,2020,COLORADO,"BIDEN, JOSEPH R. JR",1804352,TRUE,DEMOCRAT,TRUE,,Oklahoma,420000,4213,Trump,,,,Rep,Illinois,,,,
3785,2020,COLORADO,"TRUMP, DONALD J.",1364607,TRUE,REPUBLICAN,TRUE,,Nebraska,200000,2050,Trump,,,,Rep,Louisiana,,,,
