,state,tot_cases,new_case,tot_death
0,KY,5245,115.0,261
1,NH,101,23.0,1
2,OK,205999,0.0,1752
3,RI,31944,499.0,1192
4,MD,103523,624.0,3685
5,IA,7145,302.0,162
6,UT,0,0.0,0
7,NJ,29,6.0,1
8,MP,69,0.0,2
9,NE,18346,125.0,260
10,CA,10,0.0,0
11,PA,85988,492.0,6614
12,WV,1224,29.0,50
13,DE,29755,203.0,742
14,FSM,0,0.0,0
15,CA,12024,2833.0,270
16,WY,0,0.0,0
17,NJ,295012,4856.0,16548
18,WA,130040,2309.0,2519
19,MA,0,0.0,0
20,TN,143937,1854.0,1567
21,MS,70930,944.0,2043
22,VI,1378,16.0,21
23,DE,26603,345.0,718
24,GA,11,3.0,0
25,LA,57081,845.0,3199
26,WY,38223,338.0,299
27,NV,46021,870.0,806
28,ME,3958,21.0,123
29,NH,214,27.0,2
30,MP,14,0.0,2
31,AR,161521,2212.0,2522
32,MO,0,0.0,0
33,MD,232009,3538.0,5100
34,MS,64400,956.0,1825
35,GA,416217,2802.0,8881
36,HI,12768,69.0,142
37,SD,7572,48.0,109
38,IA,207675,3700.0,2160
39,IA,264758,2200.0,3451
40,AZ,194920,915.0,4529
41,DE,12879,-99.0,517
42,IN,110759,1076.0,3503
43,MP,0,0.0,0
44,NV,10030,225.0,444
45,DE,22465,71.0,660
46,OR,3864,47.0,147
47,OR,0,0.0,0
48,OR,75,10.0,3
49,RI,0,0.0,0
50,FSM,1,0.0,0
51,HI,17751,43.0,242
52,SC,20811,575.0,647
53,PR,55532,935.0,1184
54,RMI,0,0.0,0
55,RMI,4,0.0,0
56,GU,7579,0.0,129
57,PR,42660,64.0,617
58,GU,7308,0.0,121
59,VA,565270,1155.0,7486
60,ND,9736,262.0,135
61,ID,45082,660.0,492
62,WA,27192,408.0,1245
63,ND,0,0.0,0
64,AK,35720,757.0,142
65,VT,1749,4.0,58
66,MN,431944,2374.0,5688
67,VT,628,23.0,23
68,NY,164,27.0,0
69,NJ,0,0.0,0
70,TX,1715978,32552.0,26762
71,OK,169762,7389.0,1592
72,AZ,18,5.0,0
73,CT,223422,1878.0,6594
74,WI,0,0.0,0
75,WI,281910,4407.0,2392
76,ND,91222,274.0,1264
77,MP,96,0.0,2
78,UT,65044,650.0,443
79,IN,129677,1450.0,3742
80,NYC,462668,5299.0,25363
81,WV,11575,163.0,247
82,IN,66154,901.0,2965
83,WV,21057,323.0,418
84,AL,449086,3177.0,7172
85,KS,36856,966.0,419
86,KS,153021,5224.0,1529
87,PW,0,0.0,0
88,IL,812430,8256.0,14613
89,DE,85090,358.0,1368
90,AS,3,0.0,0
91,FL,0,0.0,0
92,NM,44904,1078.0,994
93,ID,0,0.0,0
94,SC,67840,2061.0,1217
95,DE,2075,61.0,52
96,NYC,232789,217.0,23646
97,WV,4657,100.0,99
98,ND,0,0.0,0
99,PR,0,0.0,0
100,FL,673194,3510.0,13287
101,SC,5869,110.0,239
102,IN,113337,711.0,3530
103,NJ,200405,476.0,16027
104,NJ,102196,2207.0,5617
105,PW,0,0.0,0
106,OH,102826,1095.0,3708
107,WI,56079,1091.0,926
108,NV,2087,134.0,71
109,SD,102132,448.0,1544
110,MD,334519,2166.0,6735
111,PA,166552,1309.0,8272
112,UT,96643,1081.0,551
113,UT,0,0.0,0
114,OH,821507,7065.0,10135
115,CT,16809,925.0,1036
116,VA,417839,5294.0,5626
117,AL,44909,0.0,1009
118,IA,2513,181.0,74
119,MT,5659,118.0,82
120,GU,122,11.0,4
121,MO,338604,3900.0,4481
122,MA,7738,1118.0,122
123,RMI,0,0.0,0
124,DC,27710,274.0,762
125,OH,704,140.0,10
126,RI,3529,160.0,87
127,SC,6188,203.0,260
128,KY,8426,140.0,391
129,MA,316824,3995.0,11613
130,KY,43,8.0,2
131,NH,31875,919.0,604
132,MP,38,1.0,2
133,CT,46717,0.0,4335
134,PA,479,108.0,2
135,TN,625237,7588.0,7381
136,PW,0,0.0,0
137,AZ,177022,3012.0,3747
138,MO,437549,1350.0,6254
139,WY,6770,141.0,53
140,MD,0,0.0,0
141,AZ,3539,146.0,115
142,MI,29263,1204.0,2093
143,SD,21541,408.0,218
144,CO,41698,639.0,1771
145,PR,0,0.0,0
146,TN,670482,4983.0,8232
147,ID,0,0.0,0
148,MO,2367,76.0,34
149,NYC,0,0.0,0
150,OH,0,0.0,0
151,DC,0,0.0,0
152,IL,848904,7216.0,15339
153,AR,0,0.0,0
154,NH,55,11.0,0
155,DC,11571,42.0,581
156,FSM,0,0.0,0
157,FL,663234,2288.0,12939
158,DC,0,0.0,0
159,VI,1544,6.0,23
160,OR,136839,866.0,1865
161,OK,69738,444.0,853
162,MI,482815,4644.0,11588
163,GU,2934,66.0,57
164,ND,18508,264.0,196
165,RMI,0,0.0,0
166,CO,53901,270.0,1900
167,TX,7276,464.0,140
168,UT,7595,136.0,91
169,CT,45349,114.0,4210
170,NJ,148219,1720.0,10435
171,RI,23932,312.0,1097
172,VI,0,0.0,0
173,TN,14512,346.0,241
174,OR,111227,682.0,1449
175,MS,190411,2507.0,4354
176,GA,221951,3162.0,4199
177,NV,274951,1078.0,4181
178,SC,174705,866.0,3945
179,GA,487978,5839.0,9648
180,ID,15822,556.0,126
181,ME,3499,0.0,111
182,MT,612,3.0,19
183,RMI,1,0.0,0
184,HI,7540,306.0,51
185,ID,167945,462.0,1806
186,AZ,520207,7718.0,8864
187,WI,594217,1296.0,6480
188,WV,0,0.0,0
189,GA,870828,3917.0,13303
190,KS,179803,0.0,1941
191,PA,106625,1054.0,7114
192,MI,296840,7886.0,8511
193,AK,374,2.0,10
194,OH,399808,17065.0,6346
195,ME,5816,36.0,143
196,AL,301533,3638.0,4124
197,MN,78966,1881.0,1899
198,OR,40810,367.0,646
199,DE,21125,188.0,645
200,OH,406703,6895.0,6378
201,PA,150812,234.0,8004
202,CO,74922,731.0,2085
203,NJ,171476,412.0,14914
204,AS,3,0.0,0
205,SC,129994,670.0,3040
206,AK,399,0.0,10
207,PW,0,0.0,0
208,HI,576,4.0,10
209,SD,18869,173.0,202
210,PR,0,0.0,0
211,MO,271527,9091.0,3559
212,DE,4734,79.0,152
213,PA,703265,10178.0,17394
214,VI,1318,0.0,20
215,GA,8,6.0,0
216,NJ,262100,2575.0,16403
217,DE,0,0.0,0
218,ND,98155,49.0,1428
219,NYC,709551,3468.0,29026
220,SC,0,0.0,0
221,TX,27054,883.0,732
222,MA,132533,435.0,9195
223,SD,5367,90.0,65
224,SC,37541,1980.0,797
225,FSM,0,0.0,0
226,IL,138224,462.0,6875
227,KS,153021,0.0,1529
228,ND,2422,-35.0,54
229,AS,0,0.0,0
230,CT,82987,1524.0,4707
231,FL,698051,1880.0,14317
232,VI,69,0.0,6
233,PR,7189,123.0,153
234,WV,8564,107.0,160
235,ME,907,19.0,39
236,PW,0,0.0,0
237,VT,0,0,0
238,CT,45715,158.0,4251
239,MN,322312,3549.0,3674
240,VI,1351,3.0,21
241,CT,41762,203.0,3868
242,MD,377628,662.0,7762
243,IA,300304,1898.0,4232
244,WI,70246,699.0,1046
245,FL,705938,2726.0,14628
246,PR,32550,562.0,428
247,ID,2699,15.0,81
248,NE,192040,1090.0,1931
249,OK,290319,1065.0,2413
250,AL,0,0,0
251,HI,17708,81.0,242
252,MO,15585,195.0,872
253,CA,5739,480.0,137
254,DE,17535,0.0,605
255,NY,233558,1098.0,9177
256,IN,139269,1165.0,3836
257,FSM,0,0.0,0
258,AK,625,15.0,12
259,NJ,219187,960.0,16171
260,MN,474621,452.0,6448
261,HI,16677,100.0,222
262,NH,0,0.0,0
263,GA,576537,8141.0,10332
264,GA,168460,3822.0,3495
265,DE,23687,0.0,678
266,ID,144843,1538.0,1471
267,OK,0,0.0,0
268,NYC,691292,4929.0,28688
269,NE,139834,1266.0,1205
270,NH,4795,46.0,265
271,HI,14653,35.0,211
272,ME,0,0.0,0
273,OH,899079,3287.0,11230
274,DE,0,0.0,0
275,NV,5007,109.0,252
276,NE,16633,120.0,216
277,NE,194168,446.0,1978
278,IA,25275,421.0,681
279,CO,6365,163.0,250
280,MI,66269,184.0,6034
281,IA,22,6.0,0
282,OH,50,13.0,0
283,VT,1338,4.0,56
284,NV,289880,488.0,4805
285,NH,71964,749.0,1148
286,AZ,145183,1559.0,2784
287,WV,22223,317.0,424
288,PW,0,0.0,0
289,TX,1168925,13598.0,20296
290,NV,284590,548.0,4522
