,submission_date,state,tot_cases,tot_death,new_death
842,2020-01-27T00:00:00.000,AK,0,0,0
375,2020-03-09T00:00:00.000,AK,0,0,0
362,2020-04-16T00:00:00.000,AK,300,9,0
193,2020-05-07T00:00:00.000,AK,374,10,0
949,2020-05-17T00:00:00.000,AK,396,10,0
206,2020-05-19T00:00:00.000,AK,399,10,0
562,2020-05-27T00:00:00.000,AK,412,10,0
258,2020-06-12T00:00:00.000,AK,625,12,1
617,2020-07-10T00:00:00.000,AK,1323,17,0
491,2020-07-12T00:00:00.000,AK,1479,17,0
388,2020-08-06T00:00:00.000,AK,3484,25,0
507,2020-08-08T00:00:00.000,AK,3613,26,1
707,2020-08-09T00:00:00.000,AK,3711,26,0
758,2020-08-10T00:00:00.000,AK,3775,26,0
401,2020-11-11T00:00:00.000,AK,20207,96,4
531,2020-12-03T00:00:00.000,AK,33291,129,8
64,2020-12-06T00:00:00.000,AK,35720,142,0
896,2020-12-27T00:00:00.000,AK,44280,199,0
585,2021-01-28T00:00:00.000,AK,52150,260,1
962,2021-02-10T00:00:00.000,AK,53991,278,0
250,2020-01-22T00:00:00.000,AL,0,0,0
769,2020-02-03T00:00:00.000,AL,0,0,0
762,2020-02-15T00:00:00.000,AL,0,0,0
420,2020-02-24T00:00:00.000,AL,0,0,0
302,2020-03-07T00:00:00.000,AL,0,0,0
582,2020-03-19T00:00:00.000,AL,78,0,0
988,2020-03-31T00:00:00.000,AL,999,13,7
610,2020-04-06T00:00:00.000,AL,2006,32,1
936,2020-04-23T00:00:00.000,AL,6071,198,11
923,2020-04-27T00:00:00.000,AL,6539,228,8
593,2020-05-06T00:00:00.000,AL,8691,343,20
712,2020-05-30T00:00:00.000,AL,17649,620,7
943,2020-06-12T00:00:00.000,AL,23710,769,14
117,2020-07-06T00:00:00.000,AL,44909,1009,0
952,2020-07-15T00:00:00.000,AL,59113,1211,45
939,2020-07-16T00:00:00.000,AL,61143,1230,19
413,2020-09-10T00:00:00.000,AL,135565,2301,16
472,2020-09-20T00:00:00.000,AL,144962,2437,0
980,2020-11-03T00:00:00.000,AL,195929,2987,14
196,2020-12-15T00:00:00.000,AL,301533,4124,22
771,2020-12-26T00:00:00.000,AL,343458,4685,5
453,2021-01-16T00:00:00.000,AL,420681,6119,89
834,2021-01-20T00:00:00.000,AL,429655,6283,157
84,2021-01-27T00:00:00.000,AL,449086,7172,276
826,2020-01-29T00:00:00.000,AR,0,0,0
153,2020-02-18T00:00:00.000,AR,0,0,0
674,2020-03-27T00:00:00.000,AR,386,3,0
968,2020-04-03T00:00:00.000,AR,738,12,0
966,2020-05-04T00:00:00.000,AR,3469,80,4
782,2020-05-08T00:00:00.000,AR,3747,88,0
374,2020-06-29T00:00:00.000,AR,20257,265,1
595,2020-07-16T00:00:00.000,AR,31114,341,6
809,2020-10-12T00:00:00.000,AR,93487,1586,18
31,2020-12-02T00:00:00.000,AR,161521,2522,10
569,2021-01-29T00:00:00.000,AR,292563,4831,65
622,2021-01-31T00:00:00.000,AR,295268,4868,30
998,2020-02-13T00:00:00.000,AS,0,0,0
652,2020-03-04T00:00:00.000,AS,0,0,0
870,2020-04-22T00:00:00.000,AS,0,0,0
912,2020-06-09T00:00:00.000,AS,0,0,0
229,2020-08-03T00:00:00.000,AS,0,0,0
720,2020-08-24T00:00:00.000,AS,0,0,0
480,2020-08-25T00:00:00.000,AS,0,0,0
651,2020-09-30T00:00:00.000,AS,0,0,0
330,2020-11-30T00:00:00.000,AS,3,0,0
711,2020-12-16T00:00:00.000,AS,3,0,0
750,2020-12-18T00:00:00.000,AS,3,0,0
90,2020-12-28T00:00:00.000,AS,3,0,0
204,2021-01-02T00:00:00.000,AS,3,0,0
673,2021-01-22T00:00:00.000,AS,3,0,0
556,2020-01-23T00:00:00.000,AZ,0,0,0
623,2020-02-03T00:00:00.000,AZ,1,0,0
72,2020-03-16T00:00:00.000,AZ,18,0,0
418,2020-03-25T00:00:00.000,AZ,401,6,1
141,2020-04-12T00:00:00.000,AZ,3539,115,7
406,2020-05-19T00:00:00.000,AZ,14566,704,18
392,2020-05-26T00:00:00.000,AZ,16783,807,1
973,2020-06-13T00:00:00.000,AZ,34458,1183,39
749,2020-06-19T00:00:00.000,AZ,46689,1312,41
794,2020-07-19T00:00:00.000,AZ,143624,2761,31
286,2020-07-20T00:00:00.000,AZ,145183,2784,23
137,2020-08-01T00:00:00.000,AZ,177022,3747,53
557,2020-08-03T00:00:00.000,AZ,179497,3779,14
40,2020-08-18T00:00:00.000,AZ,194920,4529,23
591,2020-08-24T00:00:00.000,AZ,198414,4771,0
824,2020-09-16T00:00:00.000,AZ,209907,5371,27
627,2020-10-05T00:00:00.000,AZ,221070,5707,1
464,2020-10-31T00:00:00.000,AZ,245946,5979,45
539,2020-12-20T00:00:00.000,AZ,453597,7971,34
541,2020-12-27T00:00:00.000,AZ,494337,8427,3
441,2020-12-28T00:00:00.000,AZ,504423,8469,42
972,2020-12-29T00:00:00.000,AZ,507222,8640,171
186,2020-12-31T00:00:00.000,AZ,520207,8864,146
695,2021-01-12T00:00:00.000,AZ,636100,10482,335
559,2021-01-25T00:00:00.000,AZ,727895,12239,1
642,2021-02-12T00:00:00.000,AZ,793532,14834,172
713,2021-02-17T00:00:00.000,AZ,801055,15063,82
566,2020-01-25T00:00:00.000,CA,0,0,0
675,2020-02-21T00:00:00.000,CA,10,0,0
10,2020-02-24T00:00:00.000,CA,10,0,0
253,2020-03-29T00:00:00.000,CA,5739,137,18
15,2020-04-03T00:00:00.000,CA,12024,270,67
796,2020-04-13T00:00:00.000,CA,22348,687,36
381,2020-05-08T00:00:00.000,CA,62512,2585,81
329,2020-05-09T00:00:00.000,CA,64561,2678,93
865,2020-07-04T00:00:00.000,CA,254745,6313,50
767,2020-08-12T00:00:00.000,CA,586056,10648,180
348,2020-09-14T00:00:00.000,CA,757778,14385,56
688,2020-09-18T00:00:00.000,CA,769831,14812,91
408,2020-10-11T00:00:00.000,CA,846579,16564,64
517,2020-11-02T00:00:00.000,CA,930628,17672,5
644,2020-11-12T00:00:00.000,CA,991609,18108,38
726,2021-01-02T00:00:00.000,CA,2345909,26357,386
718,2020-03-08T00:00:00.000,CO,8,0,0
508,2020-03-31T00:00:00.000,CO,2966,69,18
279,2020-04-10T00:00:00.000,CO,6365,250,24
653,2020-05-12T00:00:00.000,CO,20091,1006,20
944,2020-05-30T00:00:00.000,CO,26098,1443,7
144,2020-07-22T00:00:00.000,CO,41698,1771,8
166,2020-08-19T00:00:00.000,CO,53901,1900,1
477,2020-09-02T00:00:00.000,CO,58019,1952,6
416,2020-09-03T00:00:00.000,CO,58287,1955,3
421,2020-09-04T00:00:00.000,CO,58655,1966,11
857,2020-09-09T00:00:00.000,CO,59920,1977,4
202,2020-10-07T00:00:00.000,CO,74922,2085,4
410,2020-10-16T00:00:00.000,CO,83230,2172,10
687,2020-10-30T00:00:00.000,CO,104426,2278,10
656,2020-11-29T00:00:00.000,CO,228772,3003,20
668,2020-12-31T00:00:00.000,CO,334097,4814,64
365,2021-01-24T00:00:00.000,CO,386285,5505,23
581,2021-02-23T00:00:00.000,CO,422390,5907,14
937,2021-02-24T00:00:00.000,CO,423558,5917,10
485,2020-01-31T00:00:00.000,CT,0,0,0
618,2020-03-12T00:00:00.000,CT,7,0,0
921,2020-04-12T00:00:00.000,CT,12035,554,60
115,2020-04-17T00:00:00.000,CT,16809,1036,65
893,2020-04-23T00:00:00.000,CT,23100,1639,95
341,2020-05-10T00:00:00.000,CT,33554,2967,35
241,2020-05-29T00:00:00.000,CT,41762,3868,42
169,2020-06-16T00:00:00.000,CT,45349,4210,6
540,2020-06-19T00:00:00.000,CT,45557,4238,12
238,2020-06-20T00:00:00.000,CT,45715,4251,13
133,2020-07-05T00:00:00.000,CT,46717,4335,0
352,2020-10-26T00:00:00.000,CT,68099,4589,12
230,2020-11-10T00:00:00.000,CT,82987,4707,9
584,2020-12-20T00:00:00.000,CT,162782,5581,0
73,2021-01-15T00:00:00.000,CT,223422,6594,41
761,2021-01-21T00:00:00.000,CT,235796,6774,48
961,2021-02-06T00:00:00.000,CT,259372,7214,0
596,2021-02-24T00:00:00.000,CT,278184,7595,23
151,2020-02-08T00:00:00.000,DC,0,0,0
158,2020-02-16T00:00:00.000,DC,0,0,0
880,2020-03-15T00:00:00.000,DC,17,0,0
951,2020-05-04T00:00:00.000,DC,5170,258,7
155,2020-07-23T00:00:00.000,DC,11571,581,1
588,2020-08-12T00:00:00.000,DC,12959,593,0
892,2020-10-04T00:00:00.000,DC,15519,631,2
124,2020-12-26T00:00:00.000,DC,27710,762,6
790,2021-02-17T00:00:00.000,DC,39180,985,3
274,2020-02-22T00:00:00.000,DE,0,0,0
929,2020-02-25T00:00:00.000,DE,0,0,0
217,2020-03-04T00:00:00.000,DE,0,0,0
440,2020-03-18T00:00:00.000,DE,26,0,0
