,submission_date,state,tot_cases,tot_death
617,2020-07-10T00:00:00.000,AK,1323,17
206,2020-05-19T00:00:00.000,AK,399,10
362,2020-04-16T00:00:00.000,AK,300,9
949,2020-05-17T00:00:00.000,AK,396,10
491,2020-07-12T00:00:00.000,AK,1479,17
842,2020-01-27T00:00:00.000,AK,0,0
562,2020-05-27T00:00:00.000,AK,412,10
193,2020-05-07T00:00:00.000,AK,374,10
962,2021-02-10T00:00:00.000,AK,53991,278
375,2020-03-09T00:00:00.000,AK,0,0
401,2020-11-11T00:00:00.000,AK,20207,96
507,2020-08-08T00:00:00.000,AK,3613,26
585,2021-01-28T00:00:00.000,AK,52150,260
258,2020-06-12T00:00:00.000,AK,625,12
896,2020-12-27T00:00:00.000,AK,44280,199
758,2020-08-10T00:00:00.000,AK,3775,26
64,2020-12-06T00:00:00.000,AK,35720,142
707,2020-08-09T00:00:00.000,AK,3711,26
531,2020-12-03T00:00:00.000,AK,33291,129
388,2020-08-06T00:00:00.000,AK,3484,25
939,2020-07-16T00:00:00.000,AL,61143,1230
610,2020-04-06T00:00:00.000,AL,2006,32
593,2020-05-06T00:00:00.000,AL,8691,343
84,2021-01-27T00:00:00.000,AL,449086,7172
712,2020-05-30T00:00:00.000,AL,17649,620
936,2020-04-23T00:00:00.000,AL,6071,198
250,2020-01-22T00:00:00.000,AL,0,0
420,2020-02-24T00:00:00.000,AL,0,0
923,2020-04-27T00:00:00.000,AL,6539,228
762,2020-02-15T00:00:00.000,AL,0,0
834,2021-01-20T00:00:00.000,AL,429655,6283
117,2020-07-06T00:00:00.000,AL,44909,1009
769,2020-02-03T00:00:00.000,AL,0,0
980,2020-11-03T00:00:00.000,AL,195929,2987
771,2020-12-26T00:00:00.000,AL,343458,4685
943,2020-06-12T00:00:00.000,AL,23710,769
196,2020-12-15T00:00:00.000,AL,301533,4124
413,2020-09-10T00:00:00.000,AL,135565,2301
453,2021-01-16T00:00:00.000,AL,420681,6119
988,2020-03-31T00:00:00.000,AL,999,13
952,2020-07-15T00:00:00.000,AL,59113,1211
472,2020-09-20T00:00:00.000,AL,144962,2437
302,2020-03-07T00:00:00.000,AL,0,0
582,2020-03-19T00:00:00.000,AL,78,0
622,2021-01-31T00:00:00.000,AR,295268,4868
968,2020-04-03T00:00:00.000,AR,738,12
595,2020-07-16T00:00:00.000,AR,31114,341
809,2020-10-12T00:00:00.000,AR,93487,1586
966,2020-05-04T00:00:00.000,AR,3469,80
153,2020-02-18T00:00:00.000,AR,0,0
374,2020-06-29T00:00:00.000,AR,20257,265
569,2021-01-29T00:00:00.000,AR,292563,4831
782,2020-05-08T00:00:00.000,AR,3747,88
31,2020-12-02T00:00:00.000,AR,161521,2522
674,2020-03-27T00:00:00.000,AR,386,3
