,date,location,total_vaccinations,total_distributed,people_vaccinated,share_doses_used,,
0,1/12/2021,Alabama,78134,377025,70861,0.207,,3169400652
1,1/13/2021,Alabama,84040,378975,74792,0.222,,
2,1/14/2021,Alabama,92300,435350,80480,0.212,,
3,1/15/2021,Alabama,100567,444650,86956,0.226,,
4,1/16/2021,Alabama,,,,,,
5,1/17/2021,Alabama,,,,,,
6,1/18/2021,Alabama,,,,,,
7,1/19/2021,Alabama,130795,444650,114319,0.294,,
8,1/20/2021,Alabama,139200,483275,121113,0.288,,
9,1/21/2021,Alabama,165919,493125,144429,0.336,,
10,1/22/2021,Alabama,199314,519525,174317,0.384,,
11,1/23/2021,Alabama,221540,521225,193955,0.425,,
12,1/24/2021,Alabama,243737,521225,213833,0.468,,
13,1/25/2021,Alabama,250612,521225,220464,0.481,,
14,1/26/2021,Alabama,254959,569000,223854,0.448,,
15,1/27/2021,Alabama,266444,634000,232633,0.42,,
16,1/28/2021,Alabama,278993,655275,241337,0.426,,
17,1/29/2021,Alabama,300915,659400,256601,0.456,,
18,1/30/2021,Alabama,342436,659400,288368,0.519,,
19,1/31/2021,Alabama,353974,659400,298301,0.537,,
20,2/1/2021,Alabama,358280,659400,301628,0.543,,
21,2/2/2021,Alabama,371882,680550,312711,0.546,,
22,2/3/2021,Alabama,388339,765150,324998,0.508,,
23,2/4/2021,Alabama,408428,799675,338845,0.511,,
24,2/5/2021,Alabama,430597,799875,353522,0.538,,
25,2/6/2021,Alabama,455173,804100,370275,0.566,,
26,2/7/2021,Alabama,462332,804100,375567,0.575,,
27,2/8/2021,Alabama,467636,804100,378514,0.582,,
28,2/9/2021,Alabama,490969,823600,395196,0.596,,
29,2/10/2021,Alabama,515802,861175,412462,0.599,,
30,2/11/2021,Alabama,543237,911875,431259,0.596,,
31,2/12/2021,Alabama,571115,936200,448071,0.61,,
32,2/13/2021,Alabama,601159,963600,467032,0.624,,
33,2/14/2021,Alabama,612254,965550,474065,0.634,,
34,2/15/2021,Alabama,,,,,,
35,2/16/2021,Alabama,636682,1015775,486206,0.627,,
36,2/17/2021,Alabama,650020,1032175,494424,0.63,,
37,2/18/2021,Alabama,672038,1032175,505660,0.651,,
38,2/19/2021,Alabama,739132,1077600,545431,0.686,,
39,2/20/2021,Alabama,776936,1078800,560968,0.72,,
40,2/21/2021,Alabama,788613,1082100,567505,0.729,,
41,2/22/2021,Alabama,793614,1082100,570355,0.733,,
42,2/23/2021,Alabama,815108,1084440,580477,0.752,,
43,2/24/2021,Alabama,839703,1138650,591009,0.737,,
44,1/12/2021,Alaska,35838,141600,22486,0.253,,
45,1/13/2021,Alaska,38680,149475,24541,0.259,,
46,1/14/2021,Alaska,42596,150450,35508,0.283,,
47,1/15/2021,Alaska,49039,150450,39546,0.326,,
48,1/16/2021,Alaska,,,,,,
49,1/17/2021,Alaska,,,,,,
50,1/18/2021,Alaska,,,,,,
51,1/19/2021,Alaska,66331,150450,55434,0.441,,
52,1/20/2021,Alaska,68293,150350,56911,0.454,,
53,1/21/2021,Alaska,71907,154325,59449,0.466,,
54,1/22/2021,Alaska,81096,155500,67262,0.522,,
55,1/23/2021,Alaska,88344,155700,73014,0.567,,
56,1/24/2021,Alaska,94257,155700,77925,0.605,,
57,1/25/2021,Alaska,97031,155700,80226,0.623,,
58,1/26/2021,Alaska,98149,162925,81200,0.602,,
