Def_Index,year,state,candidate,candidatevotes,Total_Votes,party_simplified,Final_Result (%)
3740,2020,ALABAMA,"BIDEN, JOSEPH R. JR",849624,True,DEMOCRAT,True
3741,2020,ALABAMA,"TRUMP, DONALD J.",1441170,True,REPUBLICAN,True
3744,2020,ALASKA,"BIDEN, JOSEPH R. JR",153778,True,DEMOCRAT,True
3745,2020,ALASKA,"TRUMP, DONALD J.",189951,True,REPUBLICAN,True
3752,2020,ARIZONA,"BIDEN, JOSEPH R. JR",1672143,True,DEMOCRAT,True
3753,2020,ARIZONA,"TRUMP, DONALD J.",1661686,True,REPUBLICAN,True
3762,2020,ARKANSAS,"BIDEN, JOSEPH R. JR",423932,True,DEMOCRAT,True
3771,2020,ARKANSAS,"TRUMP, DONALD J.",760647,True,REPUBLICAN,True
3773,2020,CALIFORNIA,"BIDEN, JOSEPH R. JR",11110250,True,DEMOCRAT,True
3774,2020,CALIFORNIA,"TRUMP, DONALD J.",6006429,True,REPUBLICAN,True
3784,2020,COLORADO,"BIDEN, JOSEPH R. JR",1804352,True,DEMOCRAT,True
3785,2020,COLORADO,"TRUMP, DONALD J.",1364607,True,REPUBLICAN,True
3807,2020,CONNECTICUT,"BIDEN, JOSEPH R. JR",1080831,True,DEMOCRAT,True
3808,2020,CONNECTICUT,"TRUMP, DONALD J.",714717,True,REPUBLICAN,True
3838,2020,DELAWARE,"BIDEN, JOSEPH R. JR",296268,True,DEMOCRAT,True
3839,2020,DELAWARE,"TRUMP, DONALD J.",200603,True,REPUBLICAN,True
3842,2020,DISTRICT OF COLUMBIA,"BIDEN, JOSEPH R. JR",317323,True,DEMOCRAT,True
3843,2020,DISTRICT OF COLUMBIA,"TRUMP, DONALD J.",18586,True,REPUBLICAN,True
3849,2020,FLORIDA,"BIDEN, JOSEPH R. JR",5297045,True,DEMOCRAT,True
3850,2020,FLORIDA,"TRUMP, DONALD J.",5668731,True,REPUBLICAN,True
3878,2020,GEORGIA,"BIDEN, JOSEPH R. JR",2473633,True,DEMOCRAT,True
3879,2020,GEORGIA,"TRUMP, DONALD J.",2461854,True,REPUBLICAN,True
